date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
2007-03-31,West Indies,Super Eights,29th Match,Bangladesh,Australia,104 for 6,106 for 0,Australia,10,wickets,with 49 balls remaining,ICC World Cup,2006/07,Australia
2007-04-01,West Indies,Super Eights,30th Match,Sri Lanka,West Indies,303 for 5,190,Sri Lanka,113,runs,,ICC World Cup,2006/07,Australia
2007-04-02,West Indies,Super Eights,31st Match,Bangladesh,New Zealand,174,178 for 1,New Zealand,9,wickets,with 124 balls remaining,ICC World Cup,2006/07,Australia
2007-04-03,West Indies,Super Eights,32nd Match,Ireland,South Africa,152 for 8,165 for 3,South Africa,7,wickets,D/L method,ICC World Cup,2006/07,Australia
2007-04-04,West Indies,Super Eights,33rd Match,Sri Lanka,England,235,233 for 8,Sri Lanka,2,runs,,ICC World Cup,2006/07,Australia
2007-04-07,West Indies,Super Eights,34th Match,Bangladesh,South Africa,251 for 8,184,Bangladesh,67,runs,,ICC World Cup,2006/07,Australia
2007-04-08,West Indies,Super Eights,35th Match,England,Australia,247,248 for 3,Australia,7,wickets,with 16 balls remaining,ICC World Cup,2006/07,Australia
2007-04-09,West Indies,Super Eights,36th Match,New Zealand,Ireland,263 for 8,134,New Zealand,129,runs,,ICC World Cup,2006/07,Australia
2007-04-10,West Indies,Super Eights,37th Match,South Africa,West Indies,356 for 4,289 for 9,South Africa,67,runs,,ICC World Cup,2006/07,Australia
2007-04-11,West Indies,Super Eights,38th Match,Bangladesh,England,143,147 for 6,England,4,wickets,with 31 balls remaining,ICC World Cup,2006/07,Australia
2007-04-12,West Indies,Super Eights,39th Match,New Zealand,Sri Lanka,219 for 7,222 for 4,Sri Lanka,6,wickets,with 29 balls remaining,ICC World Cup,2006/07,Australia
2007-04-13,West Indies,Super Eights,40th Match,Ireland,Australia,91,92 for 1,Australia,9,wickets,with 226 balls remaining,ICC World Cup,2006/07,Australia
2007-04-14,West Indies,Super Eights,41st Match,South Africa,New Zealand,193 for 7,196 for 5,New Zealand,5,wickets,with 10 balls remaining,ICC World Cup,2006/07,Australia
2007-04-15,West Indies,Super Eights,42nd Match,Ireland,Bangladesh,243 for 7,169,Ireland,74,runs,,ICC World Cup,2006/07,Australia
2007-04-16,West Indies,Super Eights,43rd Match,Sri Lanka,Australia,226,232 for 3,Australia,7,wickets,with 44 balls remaining,ICC World Cup,2006/07,Australia
2007-04-17,West Indies,Super Eights,44th Match,England,South Africa,154,157 for 1,South Africa,9,wickets,with 184 balls remaining,ICC World Cup,2006/07,Australia
2007-04-18,West Indies,Super Eights,45th Match,Ireland,Sri Lanka,77,81 for 2,Sri Lanka,8,wickets,with 240 balls remaining,ICC World Cup,2006/07,Australia
2007-04-19,West Indies,Super Eights,46th Match,West Indies,Bangladesh,230 for 5,131,West Indies,99,runs,,ICC World Cup,2006/07,Australia
2007-04-20,West Indies,Super Eights,47th Match,Australia,New Zealand,348 for 6,133,Australia,215,runs,,ICC World Cup,2006/07,Australia
2007-04-21,West Indies,Super Eights,48th Match,West Indies,England,300,301 for 9,England,1,wicket,with 1 ball remaining,ICC World Cup,2006/07,Australia
2007-04-24,West Indies,Kingston,1st Semi-Final,Sri Lanka,New Zealand,289 for 5,208,Sri Lanka,81,runs,,ICC World Cup,2006/07,Australia
2007-04-25,West Indies,Gros Islet,2nd Semi-Final,South Africa,Australia,149,153 for 3,Australia,7,wickets,with 111 balls remaining,ICC World Cup,2006/07,Australia
2007-04-28,West Indies,Bridgetown,Final,Australia,Sri Lanka,281 for 4,215 for 8,Australia,53,runs,D/L method,ICC World Cup,2006/07,Australia
