Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
JM Bairstow,2011-2023,107,98,8,3868,141*,42.97,102.92,11,17,9
HC Brook,2023-2023,14,14,1,406,80,31.23,95.3,-,3,1
JC Buttler,2012-2023,180,153,27,5022,162*,39.85,117.14,11,26,13
LS Livingstone,2021-2023,24,21,3,513,95*,28.50,105.55,-,3,2
JE Root,2013-2023,171,160,23,6522,133*,47.60,86.77,16,39,9
BA Stokes,2011-2023,114,99,15,3463,182,41.22,95.68,5,24,7
