Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
JJ Bumrah,2016-2023,89,88,4580,57,3509,149,6/19,23.55,4.59,30.7,2,-,18,-
RA Jadeja,2009-2023,197,189,9750,56,7936,220,5/33,36.07,4.88,44.3,2,-,74,-
Kuldeep Yadav,2017-2023,101,98,5126,29,4319,167,6/25,25.86,5.05,30.6,2,-,15,-
Mohammed Shami,2013-2023,101,100,4985,51,4618,195,7/57,23.68,5.55,25.5,5,-,31,-
Mohammed Siraj,2019-2023,41,40,1825,29,1550,68,6/21,22.79,5.09,26.8,1,-,6,-
SN Thakur,2017-2023,47,46,1940,10,2014,65,4/37,30.98,6.22,29.8,-,-,9,-
