Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
TM Head,2016-2023,64,61,5,2393,152,42.73,102.61,5,16,3
M Labuschagne,2020-2023,49,46,3,1630,124,37.90,83.12,2,11,2
MR Marsh,2011-2023,89,85,11,2672,177*,36.10,96.18,3,18,7
GJ Maxwell,2012-2023,138,127,17,3895,201*,35.40,126.91,4,23,10
SPD Smith,2010-2023,155,139,16,5356,164,43.54,87.25,12,32,8
DA Warner,2009-2023,161,159,6,6932,179,45.30,97.26,22,33,4
