date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
15-Mar-92,Australia/New Zealand,Perth,33rd Match,Sri Lanka,Pakistan,212 for 6,216 for 6,Pakistan,4,wickets,with 5 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
18-Mar-92,Australia/New Zealand,Christchurch,34th Match,New Zealand,Pakistan,166,167 for 3,Pakistan,7,wickets,with 32 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
18-Mar-92,Australia/New Zealand,Albury,35th Match,Zimbabwe,England,134,125,Zimbabwe,9,runs,,Benson & Hedges World Cup,1991/92,Pakistan
18-Mar-92,Australia/New Zealand,Melbourne,36th Match (D/N),Australia,West Indies,216 for 6,159,Australia,57,runs,,Benson & Hedges World Cup,1991/92,Pakistan
21-Mar-92,Australia/New Zealand,Auckland,1st SF,New Zealand,Pakistan,262 for 7,264 for 6,Pakistan,4,wickets,with 6 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
22-Mar-92,Australia/New Zealand,Sydney,2nd SF (D/N),England,South Africa,252 for 6,232 for 6,England,19,runs,revised target,Benson & Hedges World Cup,1991/92,Pakistan
25-Mar-92,Australia/New Zealand,Melbourne,Final (D/N),Pakistan,England,249 for 6,227,Pakistan,22,runs,,Benson & Hedges World Cup,1991/92,Pakistan
08-Oct-87,India/Pakistan,Hyderabad (Sind),1st Match,Pakistan,Sri Lanka,267 for 6,252,Pakistan,15,runs,,Reliance World Cup,1987/88,Australia
09-Oct-87,India/Pakistan,Chennai,3rd Match,Australia,India,270 for 6,269,Australia,1,run,,Reliance World Cup,1987/88,Australia
09-Oct-87,India/Pakistan,Gujranwala,2nd Match,West Indies,England,243 for 7,246 for 8,England,2,wickets,with 3 balls remaining,Reliance World Cup,1987/88,Australia
10-Oct-87,India/Pakistan,Hyderabad (Deccan),4th Match,New Zealand,Zimbabwe,242 for 7,239,New Zealand,3,runs,,Reliance World Cup,1987/88,Australia
12-Oct-87,India/Pakistan,Rawalpindi,5th Match,Pakistan,England,239 for 7,221,Pakistan,18,runs,,Reliance World Cup,1987/88,Australia
13-Oct-87,India/Pakistan,Chennai,6th Match,Australia,Zimbabwe,235 for 9,139,Australia,96,runs,,Reliance World Cup,1987/88,Australia
13-Oct-87,India/Pakistan,Karachi,7th Match,West Indies,Sri Lanka,360 for 4,169 for 4,West Indies,191,runs,,Reliance World Cup,1987/88,Australia
14-Oct-87,India/Pakistan,Bengaluru,8th Match,India,New Zealand,252 for 7,236 for 8,India,16,runs,,Reliance World Cup,1987/88,Australia
16-Oct-87,India/Pakistan,Lahore,9th Match,West Indies,Pakistan,216,217 for 9,Pakistan,1,wicket,with 0 balls remaining,Reliance World Cup,1987/88,Australia
17-Oct-87,India/Pakistan,Wankhede,11th Match,Zimbabwe,India,135,136 for 2,India,8,wickets,with 133 balls remaining,Reliance World Cup,1987/88,Australia
17-Oct-87,India/Pakistan,Peshawar,10th Match,England,Sri Lanka,296 for 4,158 for 8,England,108,runs,revised target,Reliance World Cup,1987/88,Australia
18-Oct-87,India/Pakistan,Indore,12th Match,Australia,New Zealand,199 for 4,196 for 9,Australia,3,runs,,Reliance World Cup,1987/88,Australia
20-Oct-87,India/Pakistan,Karachi,13th Match,England,Pakistan,244 for 9,247 for 3,Pakistan,7,wickets,with 6 balls remaining,Reliance World Cup,1987/88,Australia
21-Oct-87,India/Pakistan,Kanpur,14th Match,West Indies,Sri Lanka,236 for 8,211 for 8,West Indies,25,runs,,Reliance World Cup,1987/88,Australia
22-Oct-87,India/Pakistan,Delhi,15th Match,India,Australia,289 for 6,233,India,56,runs,,Reliance World Cup,1987/88,Australia
23-Oct-87,India/Pakistan,Eden Gardens,16th Match,Zimbabwe,New Zealand,227 for 5,228 for 6,New Zealand,4,wickets,with 14 balls remaining,Reliance World Cup,1987/88,Australia
25-Oct-87,India/Pakistan,Faisalabad,17th Match,Pakistan,Sri Lanka,297 for 7,184 for 8,Pakistan,113,runs,,Reliance World Cup,1987/88,Australia
26-Oct-87,India/Pakistan,Jaipur,18th Match,England,West Indies,269 for 5,235,England,34,runs,,Reliance World Cup,1987/88,Australia
26-Oct-87,India/Pakistan,Ahmedabad,19th Match,Zimbabwe,India,191 for 7,194 for 3,India,7,wickets,with 48 balls remaining,Reliance World Cup,1987/88,Australia
27-Oct-87,India/Pakistan,Chandigarh,20th Match,Australia,New Zealand,251 for 8,234,Australia,17,runs,,Reliance World Cup,1987/88,Australia
30-Oct-87,India/Pakistan,Cuttack,21st Match,Australia,Zimbabwe,266 for 5,196 for 6,Australia,70,runs,,Reliance World Cup,1987/88,Australia
30-Oct-87,India/Pakistan,Pune,22nd Match,Sri Lanka,England,218 for 7,219 for 2,England,8,wickets,with 52 balls remaining,Reliance World Cup,1987/88,Australia
30-Oct-87,India/Pakistan,Karachi,23rd Match,West Indies,Pakistan,258 for 7,230 for 9,West Indies,28,runs,,Reliance World Cup,1987/88,Australia
31-Oct-87,India/Pakistan,Nagpur,24th Match,New Zealand,India,221 for 9,224 for 1,India,9,wickets,with 107 balls remaining,Reliance World Cup,1987/88,Australia
04-Nov-87,India/Pakistan,Lahore,1st SF,Australia,Pakistan,267 for 8,249,Australia,18,runs,,Reliance World Cup,1987/88,Australia
05-Nov-87,India/Pakistan,Wankhede,2nd SF,England,India,254 for 6,219,England,35,runs,,Reliance World Cup,1987/88,Australia
08-Nov-87,India/Pakistan,Eden Gardens,Final,Australia,England,253 for 5,246 for 8,Australia,7,runs,,Reliance World Cup,1987/88,Australia
14-May-99,England/Ireland/Netherlands/Scotland,Lord's,1st Match,Sri Lanka,England,204,207 for 2,England,8,wickets,with 19 balls remaining,ICC World Cup,1999,Australia
15-May-99,England/Ireland/Netherlands/Scotland,Hove,2nd Match,India,South Africa,253 for 5,254 for 6,South Africa,4,wickets,with 16 balls remaining,ICC World Cup,1999,Australia
15-May-99,England/Ireland/Netherlands/Scotland,Taunton,3rd Match,Kenya,Zimbabwe,229 for 7,231 for 5,Zimbabwe,5,wickets,with 54 balls remaining,ICC World Cup,1999,Australia
16-May-99,England/Ireland/Netherlands/Scotland,Worcester,4th Match,Scotland,Australia,181 for 7,182 for 4,Australia,6,wickets,with 31 balls remaining,ICC World Cup,1999,Australia
16-May-99,England/Ireland/Netherlands/Scotland,Bristol,5th Match,Pakistan,West Indies,229 for 8,202,Pakistan,27,runs,,ICC World Cup,1999,Australia
17-May-99,England/Ireland/Netherlands/Scotland,Chelmsford,6th Match,Bangladesh,New Zealand,116,117 for 4,New Zealand,6,wickets,with 102 balls remaining,ICC World Cup,1999,Australia
18-May-99,England/Ireland/Netherlands/Scotland,Canterbury,7th Match,Kenya,England,203,204 for 1,England,9,wickets,with 66 balls remaining,ICC World Cup,1999,Australia
19-May-99,England/Ireland/Netherlands/Scotland,Leicester,8th Match,Zimbabwe,India,252 for 9,249,Zimbabwe,3,runs,,ICC World Cup,1999,Australia
19-May-99,England/Ireland/Netherlands/Scotland,Northampton,9th Match,South Africa,Sri Lanka,199 for 9,110,South Africa,89,runs,,ICC World Cup,1999,Australia
20-May-99,England/Ireland/Netherlands/Scotland,Cardiff,10th Match,Australia,New Zealand,213 for 8,214 for 5,New Zealand,5,wickets,with 28 balls remaining,ICC World Cup,1999,Australia
20-May-99,England/Ireland/Netherlands/Scotland,Chester-le-Street,11th Match,Pakistan,Scotland,261 for 6,167,Pakistan,94,runs,,ICC World Cup,1999,Australia
21-May-99,England/Ireland/Netherlands/Scotland,Dublin,12th Match,Bangladesh,West Indies,182,183 for 3,West Indies,7,wickets,with 21 balls remaining,ICC World Cup,1999,Australia
22-May-99,England/Ireland/Netherlands/Scotland,The Oval,13th Match,South Africa,England,225 for 7,103,South Africa,122,runs,,ICC World Cup,1999,Australia
22-May-99,England/Ireland/Netherlands/Scotland,Worcester,14th Match,Zimbabwe,Sri Lanka,197 for 9,198 for 6,Sri Lanka,4,wickets,with 24 balls remaining,ICC World Cup,1999,Australia
23-May-99,England/Ireland/Netherlands/Scotland,Bristol,15th Match,India,Kenya,329 for 2,235 for 7,India,94,runs,,ICC World Cup,1999,Australia
23-May-99,England/Ireland/Netherlands/Scotland,Leeds,16th Match,Pakistan,Australia,275 for 8,265,Pakistan,10,runs,,ICC World Cup,1999,Australia
24-May-99,England/Ireland/Netherlands/Scotland,Edinburgh,17th Match,Bangladesh,Scotland,185 for 9,163,Bangladesh,22,runs,,ICC World Cup,1999,Australia
24-May-99,England/Ireland/Netherlands/Scotland,Southampton,18th Match,New Zealand,West Indies,156,158 for 3,West Indies,7,wickets,with 34 balls remaining,ICC World Cup,1999,Australia
25-May-99,England/Ireland/Netherlands/Scotland,Nottingham,19th Match,Zimbabwe,England,167 for 8,168 for 3,England,7,wickets,with 69 balls remaining,ICC World Cup,1999,Australia
26-May-99,England/Ireland/Netherlands/Scotland,Amstelveen,20th Match,Kenya,South Africa,152,153 for 3,South Africa,7,wickets,with 54 balls remaining,ICC World Cup,1999,Australia
26-May-99,England/Ireland/Netherlands/Scotland,Taunton,21st Match,India,Sri Lanka,373 for 6,216,India,157,runs,,ICC World Cup,1999,Australia
27-May-99,England/Ireland/Netherlands/Scotland,Leicester,23rd Match,Scotland,West Indies,68,70 for 2,West Indies,8,wickets,with 239 balls remaining,ICC World Cup,1999,Australia
27-May-99,England/Ireland/Netherlands/Scotland,Chester-le-Street,22nd Match,Bangladesh,Australia,178 for 7,181 for 3,Australia,7,wickets,with 181 balls remaining,ICC World Cup,1999,Australia
28-May-99,England/Ireland/Netherlands/Scotland,Derby,24th Match,Pakistan,New Zealand,269 for 8,207 for 8,Pakistan,62,runs,,ICC World Cup,1999,Australia
29-May-99,England/Ireland/Netherlands/Scotland,Birmingham,25th Match,India,England,232 for 8,169,India,63,runs,,ICC World Cup,1999,Australia
29-May-99,England/Ireland/Netherlands/Scotland,Chelmsford,26th Match,Zimbabwe,South Africa,233 for 6,185,Zimbabwe,48,runs,,ICC World Cup,1999,Australia
30-May-99,England/Ireland/Netherlands/Scotland,Southampton,27th Match,Sri Lanka,Kenya,275 for 8,230 for 6,Sri Lanka,45,runs,,ICC World Cup,1999,Australia
30-May-99,England/Ireland/Netherlands/Scotland,Manchester,28th Match,West Indies,Australia,110,111 for 4,Australia,6,wickets,with 56 balls remaining,ICC World Cup,1999,Australia
31-May-99,England/Ireland/Netherlands/Scotland,Northampton,29th Match,Bangladesh,Pakistan,223 for 9,161,Bangladesh,62,runs,,ICC World Cup,1999,Australia
31-May-99,England/Ireland/Netherlands/Scotland,Edinburgh,30th Match,Scotland,New Zealand,121,123 for 4,New Zealand,6,wickets,with 193 balls remaining,ICC World Cup,1999,Australia
04-Jun-99,England/Ireland/Netherlands/Scotland,The Oval,1st Super,Australia,India,282 for 6,205,Australia,77,runs,,ICC World Cup,1999,Australia
05-Jun-99,England/Ireland/Netherlands/Scotland,Nottingham,2nd Super,Pakistan,South Africa,220 for 7,221 for 7,South Africa,3,wickets,with 6 balls remaining,ICC World Cup,1999,Australia
06-Jun-99,England/Ireland/Netherlands/Scotland,Leeds,3rd Super,Zimbabwe,New Zealand,175,70 for 3,No result,No result,No result,,ICC World Cup,1999,Australia
08-Jun-99,England/Ireland/Netherlands/Scotland,Manchester,4th Super,India,Pakistan,227 for 6,180,India,47,runs,,ICC World Cup,1999,Australia
09-Jun-99,England/Ireland/Netherlands/Scotland,Lord's,5th Super,Australia,Zimbabwe,303 for 4,259 for 6,Australia,44,runs,,ICC World Cup,1999,Australia
10-Jun-99,England/Ireland/Netherlands/Scotland,Birmingham,6th Super,South Africa,New Zealand,287 for 5,213 for 8,South Africa,74,runs,,ICC World Cup,1999,Australia
11-Jun-99,England/Ireland/Netherlands/Scotland,The Oval,7th Super,Pakistan,Zimbabwe,271 for 9,123,Pakistan,148,runs,,ICC World Cup,1999,Australia
12-Jun-99,England/Ireland/Netherlands/Scotland,Nottingham,8th Super,India,New Zealand,251 for 6,253 for 5,New Zealand,5,wickets,with 10 balls remaining,ICC World Cup,1999,Australia
13-Jun-99,England/Ireland/Netherlands/Scotland,Leeds,9th Super,South Africa,Australia,271 for 7,272 for 5,Australia,5,wickets,with 2 balls remaining,ICC World Cup,1999,Australia
16-Jun-99,England/Ireland/Netherlands/Scotland,Manchester,1st SF,New Zealand,Pakistan,241 for 7,242 for 1,Pakistan,9,wickets,with 15 balls remaining,ICC World Cup,1999,Australia
17-Jun-99,England/Ireland/Netherlands/Scotland,Birmingham,2nd SF,Australia,South Africa,213,213,Match tied,Match tied,Match tied,,ICC World Cup,1999,Australia
20-Jun-99,England/Ireland/Netherlands/Scotland,Lord's,Final,Pakistan,Australia,132,133 for 2,Australia,8,wickets,with 179 balls remaining,ICC World Cup,1999,Australia
14-Feb-15,Australia/New Zealand,Christchurch,1st Match,New Zealand,Sri Lanka,331 for 6,233,New Zealand,98,runs,,ICC Cricket World Cup,2014/15,Australia
14-Feb-15,Australia/New Zealand,Melbourne,2nd Match,Australia,England,342 for 9,231,Australia,111,runs,,ICC Cricket World Cup,2014/15,Australia
15-Feb-15,Australia/New Zealand,Hamilton,3rd Match,South Africa,Zimbabwe,339 for 4,277,South Africa,62,runs,,ICC Cricket World Cup,2014/15,Australia
15-Feb-15,Australia/New Zealand,Adelaide,4th Match,India,Pakistan,300 for 7,224,India,76,runs,,ICC Cricket World Cup,2014/15,Australia
16-Feb-15,Australia/New Zealand,Nelson,5th Match,West Indies,Ireland,304 for 7,307 for 6,Ireland,4,wickets,with 25 balls remaining,ICC Cricket World Cup,2014/15,Australia
17-Feb-15,Australia/New Zealand,Dunedin,6th Match,Scotland,New Zealand,142,146 for 7,New Zealand,3,wickets,with 151 balls remaining,ICC Cricket World Cup,2014/15,Australia
18-Feb-15,Australia/New Zealand,Canberra,7th Match,Bangladesh,Afghanistan,267,162,Bangladesh,105,runs,,ICC Cricket World Cup,2014/15,Australia
19-Feb-15,Australia/New Zealand,Nelson,8th Match,United Arab Emirates,Zimbabwe,285 for 7,286 for 6,Zimbabwe,4,wickets,with 12 balls remaining,ICC Cricket World Cup,2014/15,Australia
20-Feb-15,Australia/New Zealand,Wellington,9th Match,England,New Zealand,123,125 for 2,New Zealand,8,wickets,with 226 balls remaining,ICC Cricket World Cup,2014/15,Australia
21-Feb-15,Australia/New Zealand,Christchurch,10th Match,West Indies,Pakistan,310 for 6,160,West Indies,150,runs,,ICC Cricket World Cup,2014/15,Australia
21-Feb-15,Australia/New Zealand,Brisbane,11th Match,Australia,Bangladesh,,,Match abandoned without a ball bowled,Match abandoned without a ball bowled,Match abandoned without a ball bowled,,ICC Cricket World Cup,2014/15,Australia
22-Feb-15,Australia/New Zealand,Dunedin,12th Match,Afghanistan,Sri Lanka,232,236 for 6,Sri Lanka,4,wickets,with 10 balls remaining,ICC Cricket World Cup,2014/15,Australia
22-Feb-15,Australia/New Zealand,Melbourne,13th Match,India,South Africa,307 for 7,177,India,130,runs,,ICC Cricket World Cup,2014/15,Australia
23-Feb-15,Australia/New Zealand,Christchurch,14th Match,England,Scotland,303 for 8,184,England,119,runs,,ICC Cricket World Cup,2014/15,Australia
24-Feb-15,Australia/New Zealand,Canberra,15th Match,West Indies,Zimbabwe,372 for 2,289,West Indies,73,runs,D/L method,ICC Cricket World Cup,2014/15,Australia
25-Feb-15,Australia/New Zealand,Brisbane,16th Match,United Arab Emirates,Ireland,278 for 9,279 for 8,Ireland,2,wickets,with 4 balls remaining,ICC Cricket World Cup,2014/15,Australia
26-Feb-15,Australia/New Zealand,Dunedin,17th Match,Scotland,Afghanistan,210,211 for 9,Afghanistan,1,wicket,with 3 balls remaining,ICC Cricket World Cup,2014/15,Australia
26-Feb-15,Australia/New Zealand,Melbourne,18th Match,Sri Lanka,Bangladesh,332 for 1,240,Sri Lanka,92,runs,,ICC Cricket World Cup,2014/15,Australia
27-Feb-15,Australia/New Zealand,Sydney,19th Match,South Africa,West Indies,408 for 5,151,South Africa,257,runs,,ICC Cricket World Cup,2014/15,Australia
28-Feb-15,Australia/New Zealand,Auckland,20th Match,Australia,New Zealand,151,152 for 9,New Zealand,1,wicket,with 161 balls remaining,ICC Cricket World Cup,2014/15,Australia
28-Feb-15,Australia/New Zealand,Perth,21st Match,United Arab Emirates,India,102,104 for 1,India,9,wickets,with 187 balls remaining,ICC Cricket World Cup,2014/15,Australia
01-Mar-15,Australia/New Zealand,Wellington,22nd Match,England,Sri Lanka,309 for 6,312 for 1,Sri Lanka,9,wickets,with 16 balls remaining,ICC Cricket World Cup,2014/15,Australia
01-Mar-15,Australia/New Zealand,Brisbane,23rd Match,Pakistan,Zimbabwe,235 for 7,215,Pakistan,20,runs,,ICC Cricket World Cup,2014/15,Australia
03-Mar-15,Australia/New Zealand,Canberra,24th Match,South Africa,Ireland,411 for 4,210,South Africa,201,runs,,ICC Cricket World Cup,2014/15,Australia
04-Mar-15,Australia/New Zealand,Napier,25th Match,Pakistan,United Arab Emirates,339 for 6,210 for 8,Pakistan,129,runs,,ICC Cricket World Cup,2014/15,Australia
04-Mar-15,Australia/New Zealand,Perth,26th Match,Australia,Afghanistan,417 for 6,142,Australia,275,runs,,ICC Cricket World Cup,2014/15,Australia
05-Mar-15,Australia/New Zealand,Nelson,27th Match,Scotland,Bangladesh,318 for 8,322 for 4,Bangladesh,6,wickets,with 11 balls remaining,ICC Cricket World Cup,2014/15,Australia
06-Mar-15,Australia/New Zealand,Perth,28th Match,West Indies,India,182,185 for 6,India,4,wickets,with 65 balls remaining,ICC Cricket World Cup,2014/15,Australia
07-Mar-15,Australia/New Zealand,Auckland,29th Match,Pakistan,South Africa,222,202,Pakistan,29,runs,D/L method,ICC Cricket World Cup,2014/15,Australia
07-Mar-15,Australia/New Zealand,Hobart,30th Match,Ireland,Zimbabwe,331 for 8,326,Ireland,5,runs,,ICC Cricket World Cup,2014/15,Australia
08-Mar-15,Australia/New Zealand,Napier,31st Match,Afghanistan,New Zealand,186,188 for 4,New Zealand,6,wickets,with 83 balls remaining,ICC Cricket World Cup,2014/15,Australia
08-Mar-15,Australia/New Zealand,Sydney,32nd Match,Australia,Sri Lanka,376 for 9,312,Australia,64,runs,,ICC Cricket World Cup,2014/15,Australia
09-Mar-15,Australia/New Zealand,Adelaide,33rd Match,Bangladesh,England,275 for 7,260,Bangladesh,15,runs,,ICC Cricket World Cup,2014/15,Australia
10-Mar-15,Australia/New Zealand,Hamilton,34th Match,Ireland,India,259,260 for 2,India,8,wickets,with 79 balls remaining,ICC Cricket World Cup,2014/15,Australia
11-Mar-15,Australia/New Zealand,Hobart,35th Match,Sri Lanka,Scotland,363 for 9,215,Sri Lanka,148,runs,,ICC Cricket World Cup,2014/15,Australia
12-Mar-15,Australia/New Zealand,Wellington,36th Match,South Africa,United Arab Emirates,341 for 6,195,South Africa,146,runs,,ICC Cricket World Cup,2014/15,Australia
13-Mar-15,Australia/New Zealand,Hamilton,37th Match,Bangladesh,New Zealand,288 for 7,290 for 7,New Zealand,3,wickets,with 7 balls remaining,ICC Cricket World Cup,2014/15,Australia
13-Mar-15,Australia/New Zealand,Sydney,38th Match,Afghanistan,England,111 for 7,101 for 1,England,9,wickets,D/L method,ICC Cricket World Cup,2014/15,Australia
14-Mar-15,Australia/New Zealand,Auckland,39th Match,Zimbabwe,India,287,288 for 4,India,6,wickets,with 8 balls remaining,ICC Cricket World Cup,2014/15,Australia
14-Mar-15,Australia/New Zealand,Hobart,40th Match,Scotland,Australia,130,133 for 3,Australia,7,wickets,with 208 balls remaining,ICC Cricket World Cup,2014/15,Australia
15-Mar-15,Australia/New Zealand,Napier,41st Match,United Arab Emirates,West Indies,175,176 for 4,West Indies,6,wickets,with 117 balls remaining,ICC Cricket World Cup,2014/15,Australia
15-Mar-15,Australia/New Zealand,Adelaide,42nd Match,Ireland,Pakistan,237,241 for 3,Pakistan,7,wickets,with 23 balls remaining,ICC Cricket World Cup,2014/15,Australia
18-Mar-15,Australia/New Zealand,Sydney,1st Quarter-Final (D/N),Sri Lanka,South Africa,133,134 for 1,South Africa,9,wickets,with 192 balls remaining,ICC Cricket World Cup,2014/15,Australia
19-Mar-15,Australia/New Zealand,Melbourne,2nd Quarter-Final (D/N),India,Bangladesh,302 for 6,193,India,109,runs,,ICC Cricket World Cup,2014/15,Australia
20-Mar-15,Australia/New Zealand,Adelaide,3rd Quarter-Final (D/N),Pakistan,Australia,213,216 for 4,Australia,6,wickets,with 97 balls remaining,ICC Cricket World Cup,2014/15,Australia
21-Mar-15,Australia/New Zealand,Wellington,4th Quarter-Final (D/N),New Zealand,West Indies,393 for 6,250,New Zealand,143,runs,,ICC Cricket World Cup,2014/15,Australia
24-Mar-15,Australia/New Zealand,Auckland,1st Semi-Final (D/N),South Africa,New Zealand,281 for 5,299 for 6,New Zealand,4,wickets,D/L method,ICC Cricket World Cup,2014/15,Australia
26-Mar-15,Australia/New Zealand,Sydney,2nd Semi-Final (D/N),Australia,India,328 for 7,233,Australia,95,runs,,ICC Cricket World Cup,2014/15,Australia
29-Mar-15,Australia/New Zealand,Melbourne,Final (D/N),New Zealand,Australia,183,186 for 3,Australia,7,wickets,with 101 balls remaining,ICC Cricket World Cup,2014/15,Australia
13-Mar-07,West Indies,Kingston,1st Match,West Indies,Pakistan,241 for 9,187,West Indies,54,runs,,ICC World Cup,2006/07,Australia
14-Mar-07,West Indies,Basseterre,2nd Match,Australia,Scotland,334 for 6,131,Australia,203,runs,,ICC World Cup,2006/07,Australia
14-Mar-07,West Indies,Gros Islet,3rd Match,Canada,Kenya,199,203 for 3,Kenya,7,wickets,with 40 balls remaining,ICC World Cup,2006/07,Australia
15-Mar-07,West Indies,Port of Spain,4th Match,Sri Lanka,Bermuda,321 for 6,78,Sri Lanka,243,runs,,ICC World Cup,2006/07,Australia
15-Mar-07,West Indies,Kingston,5th Match,Ireland,Zimbabwe,221 for 9,221,Match tied,Match tied,Match tied,,ICC World Cup,2006/07,Australia
16-Mar-07,West Indies,Basseterre,7th Match,South Africa,Netherlands,353 for 3,132 for 9,South Africa,221,runs,,ICC World Cup,2006/07,Australia
16-Mar-07,West Indies,Gros Islet,6th Match,England,New Zealand,209 for 7,210 for 4,New Zealand,6,wickets,with 54 balls remaining,ICC World Cup,2006/07,Australia
17-Mar-07,West Indies,Port of Spain,8th Match,India,Bangladesh,191,192 for 5,Bangladesh,5,wickets,with 9 balls remaining,ICC World Cup,2006/07,Australia
17-Mar-07,West Indies,Kingston,9th Match,Pakistan,Ireland,132,133 for 7,Ireland,3,wickets,D/L method,ICC World Cup,2006/07,Australia
18-Mar-07,West Indies,Basseterre,10th Match,Australia,Netherlands,358 for 5,129,Australia,229,runs,,ICC World Cup,2006/07,Australia
18-Mar-07,West Indies,Gros Islet,11th Match,England,Canada,279 for 6,228 for 7,England,51,runs,,ICC World Cup,2006/07,Australia
19-Mar-07,West Indies,Port of Spain,12th Match,India,Bermuda,413 for 5,156,India,257,runs,,ICC World Cup,2006/07,Australia
19-Mar-07,West Indies,Kingston,13th Match,Zimbabwe,West Indies,202 for 5,204 for 4,West Indies,6,wickets,with 13 balls remaining,ICC World Cup,2006/07,Australia
20-Mar-07,West Indies,Basseterre,15th Match,Scotland,South Africa,186 for 8,188 for 3,South Africa,7,wickets,with 160 balls remaining,ICC World Cup,2006/07,Australia
20-Mar-07,West Indies,Gros Islet,14th Match,New Zealand,Kenya,331 for 7,183,New Zealand,148,runs,,ICC World Cup,2006/07,Australia
21-Mar-07,West Indies,Port of Spain,16th Match,Sri Lanka,Bangladesh,318 for 4,112,Sri Lanka,198,runs,D/L method,ICC World Cup,2006/07,Australia
21-Mar-07,West Indies,Kingston,17th Match,Pakistan,Zimbabwe,349,99,Pakistan,93,runs,D/L method,ICC World Cup,2006/07,Australia
22-Mar-07,West Indies,Basseterre,19th Match,Scotland,Netherlands,136,140 for 2,Netherlands,8,wickets,with 157 balls remaining,ICC World Cup,2006/07,Australia
22-Mar-07,West Indies,Gros Islet,18th Match,New Zealand,Canada,363 for 5,249,New Zealand,114,runs,,ICC World Cup,2006/07,Australia
23-Mar-07,West Indies,Port of Spain,20th Match,Sri Lanka,India,254 for 6,185,Sri Lanka,69,runs,,ICC World Cup,2006/07,Australia
23-Mar-07,West Indies,Kingston,21st Match,Ireland,West Indies,183 for 8,190 for 2,West Indies,8,wickets,D/L method,ICC World Cup,2006/07,Australia
24-Mar-07,West Indies,Gros Islet,23rd Match,Kenya,England,177,178 for 3,England,7,wickets,with 60 balls remaining,ICC World Cup,2006/07,Australia
24-Mar-07,West Indies,Basseterre,22nd Match,Australia,South Africa,377 for 6,294,Australia,83,runs,,ICC World Cup,2006/07,Australia
25-Mar-07,West Indies,Port of Spain,24th Match,Bermuda,Bangladesh,94 for 9,96 for 3,Bangladesh,7,wickets,D/L method,ICC World Cup,2006/07,Australia
27-Mar-07,West Indies,Super Eights,25th Match,Australia,West Indies,322 for 6,219,Australia,103,runs,,ICC World Cup,2006/07,Australia
28-Mar-07,West Indies,Super Eights,26th Match,Sri Lanka,South Africa,209,212 for 9,South Africa,1,wicket,with 10 balls remaining,ICC World Cup,2006/07,Australia
29-Mar-07,West Indies,Super Eights,27th Match,West Indies,New Zealand,177,179 for 3,New Zealand,7,wickets,with 64 balls remaining,ICC World Cup,2006/07,Australia
30-Mar-07,West Indies,Super Eights,28th Match,England,Ireland,266 for 7,218,England,48,runs,,ICC World Cup,2006/07,Australia
31-Mar-07,West Indies,Super Eights,29th Match,Bangladesh,Australia,104 for 6,106 for 0,Australia,10,wickets,with 49 balls remaining,ICC World Cup,2006/07,Australia
01-Apr-07,West Indies,Super Eights,30th Match,Sri Lanka,West Indies,303 for 5,190,Sri Lanka,113,runs,,ICC World Cup,2006/07,Australia
02-Apr-07,West Indies,Super Eights,31st Match,Bangladesh,New Zealand,174,178 for 1,New Zealand,9,wickets,with 124 balls remaining,ICC World Cup,2006/07,Australia
03-Apr-07,West Indies,Super Eights,32nd Match,Ireland,South Africa,152 for 8,165 for 3,South Africa,7,wickets,D/L method,ICC World Cup,2006/07,Australia
04-Apr-07,West Indies,Super Eights,33rd Match,Sri Lanka,England,235,233 for 8,Sri Lanka,2,runs,,ICC World Cup,2006/07,Australia
07-Apr-07,West Indies,Super Eights,34th Match,Bangladesh,South Africa,251 for 8,184,Bangladesh,67,runs,,ICC World Cup,2006/07,Australia
08-Apr-07,West Indies,Super Eights,35th Match,England,Australia,247,248 for 3,Australia,7,wickets,with 16 balls remaining,ICC World Cup,2006/07,Australia
09-Apr-07,West Indies,Super Eights,36th Match,New Zealand,Ireland,263 for 8,134,New Zealand,129,runs,,ICC World Cup,2006/07,Australia
10-Apr-07,West Indies,Super Eights,37th Match,South Africa,West Indies,356 for 4,289 for 9,South Africa,67,runs,,ICC World Cup,2006/07,Australia
11-Apr-07,West Indies,Super Eights,38th Match,Bangladesh,England,143,147 for 6,England,4,wickets,with 31 balls remaining,ICC World Cup,2006/07,Australia
12-Apr-07,West Indies,Super Eights,39th Match,New Zealand,Sri Lanka,219 for 7,222 for 4,Sri Lanka,6,wickets,with 29 balls remaining,ICC World Cup,2006/07,Australia
13-Apr-07,West Indies,Super Eights,40th Match,Ireland,Australia,91,92 for 1,Australia,9,wickets,with 226 balls remaining,ICC World Cup,2006/07,Australia
14-Apr-07,West Indies,Super Eights,41st Match,South Africa,New Zealand,193 for 7,196 for 5,New Zealand,5,wickets,with 10 balls remaining,ICC World Cup,2006/07,Australia
15-Apr-07,West Indies,Super Eights,42nd Match,Ireland,Bangladesh,243 for 7,169,Ireland,74,runs,,ICC World Cup,2006/07,Australia
16-Apr-07,West Indies,Super Eights,43rd Match,Sri Lanka,Australia,226,232 for 3,Australia,7,wickets,with 44 balls remaining,ICC World Cup,2006/07,Australia
