date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
27-Feb-03,Kenya/South Africa/Zimbabwe,Potchefstroom,31st Match,Australia,Namibia,301 for 6,45,Australia,256,runs,,ICC World Cup,2002/03,Australia
27-Feb-03,Kenya/South Africa/Zimbabwe,East London,32nd Match,South Africa,Canada,254 for 8,136 for 5,South Africa,118,runs,,ICC World Cup,2002/03,Australia
28-Feb-03,Kenya/South Africa/Zimbabwe,Bulawayo,33rd Match,Zimbabwe,Netherlands,301 for 8,202 for 9,Zimbabwe,99,runs,,ICC World Cup,2002/03,Australia
28-Feb-03,Kenya/South Africa/Zimbabwe,Cape Town,34th Match (D/N),Sri Lanka,West Indies,228 for 6,222 for 9,Sri Lanka,6,runs,,ICC World Cup,2002/03,Australia
01-Mar-03,Kenya/South Africa/Zimbabwe,Johannesburg,35th Match,Kenya,Bangladesh,217 for 7,185,Kenya,32,runs,,ICC World Cup,2002/03,Australia
01-Mar-03,Kenya/South Africa/Zimbabwe,Centurion,36th Match,Pakistan,India,273 for 7,276 for 4,India,6,wickets,with 26 balls remaining,ICC World Cup,2002/03,Australia
02-Mar-03,Kenya/South Africa/Zimbabwe,Gqeberha,37th Match,England,Australia,204 for 8,208 for 8,Australia,2,wickets,with 2 balls remaining,ICC World Cup,2002/03,Australia
03-Mar-03,Kenya/South Africa/Zimbabwe,Benoni,38th Match,Canada,New Zealand,196,197 for 5,New Zealand,5,wickets,with 162 balls remaining,ICC World Cup,2002/03,Australia
03-Mar-03,Kenya/South Africa/Zimbabwe,Bloemfontein,39th Match,Netherlands,Namibia,314 for 4,250,Netherlands,64,runs,,ICC World Cup,2002/03,Australia
03-Mar-03,Kenya/South Africa/Zimbabwe,Durban,40th Match (D/N),Sri Lanka,South Africa,268 for 9,229 for 6,Match tied (D/L method),Match tied (D/L method),Match tied (D/L method),D/L method,ICC World Cup,2002/03,Australia
04-Mar-03,Kenya/South Africa/Zimbabwe,Bulawayo,41st Match,Pakistan,Zimbabwe,73 for 3,,No result,No result,No result,,ICC World Cup,2002/03,Australia
04-Mar-03,Kenya/South Africa/Zimbabwe,Kimberley,42nd Match,West Indies,Kenya,246 for 7,104,West Indies,142,runs,,ICC World Cup,2002/03,Australia
07-Mar-03,Kenya/South Africa/Zimbabwe,Centurion,1st Super,Australia,Sri Lanka,319 for 5,223,Australia,96,runs,,ICC World Cup,2002/03,Australia
07-Mar-03,Kenya/South Africa/Zimbabwe,Cape Town,2nd Super (D/N),Kenya,India,225 for 6,226 for 4,India,6,wickets,with 13 balls remaining,ICC World Cup,2002/03,Australia
08-Mar-03,Kenya/South Africa/Zimbabwe,Bloemfontein,3rd Super,Zimbabwe,New Zealand,252 for 7,253 for 4,New Zealand,6,wickets,with 16 balls remaining,ICC World Cup,2002/03,Australia
10-Mar-03,Kenya/South Africa/Zimbabwe,Johannesburg,4th Super,India,Sri Lanka,292 for 6,109,India,183,runs,,ICC World Cup,2002/03,Australia
11-Mar-03,Kenya/South Africa/Zimbabwe,Gqeberha,5th Super,Australia,New Zealand,208 for 9,112,Australia,96,runs,,ICC World Cup,2002/03,Australia
12-Mar-03,Kenya/South Africa/Zimbabwe,Bloemfontein,6th Super,Zimbabwe,Kenya,133,135 for 3,Kenya,7,wickets,with 144 balls remaining,ICC World Cup,2002/03,Australia
14-Mar-03,Kenya/South Africa/Zimbabwe,Centurion,7th Super,New Zealand,India,146,150 for 3,India,7,wickets,with 56 balls remaining,ICC World Cup,2002/03,Australia
15-Mar-03,Kenya/South Africa/Zimbabwe,East London,8th Super,Sri Lanka,Zimbabwe,256 for 5,182,Sri Lanka,74,runs,,ICC World Cup,2002/03,Australia
15-Mar-03,Kenya/South Africa/Zimbabwe,Durban,9th Super (D/N),Kenya,Australia,174 for 8,178 for 5,Australia,5,wickets,with 112 balls remaining,ICC World Cup,2002/03,Australia
18-Mar-03,Kenya/South Africa/Zimbabwe,Gqeberha,1st SF,Australia,Sri Lanka,212 for 7,123 for 7,Australia,48,runs,D/L method,ICC World Cup,2002/03,Australia
20-Mar-03,Kenya/South Africa/Zimbabwe,Durban,2nd SF (D/N),India,Kenya,270 for 4,179,India,91,runs,,ICC World Cup,2002/03,Australia
23-Mar-03,Kenya/South Africa/Zimbabwe,Johannesburg,Final,Australia,India,359 for 2,234,Australia,125,runs,,ICC World Cup,2002/03,Australia
14-Feb-96,India/Pakistan/Sri Lanka,Ahmedabad,1st Match,New Zealand,England,239 for 6,228 for 9,New Zealand,11,runs,,Wills World Cup,1995/96,Sri Lanka
16-Feb-96,India/Pakistan/Sri Lanka,Rawalpindi,2nd Match,South Africa,United Arab Emirates,321 for 2,152 for 8,South Africa,169,runs,,Wills World Cup,1995/96,Sri Lanka
16-Feb-96,India/Pakistan/Sri Lanka,Hyderabad (Deccan),3rd Match (D/N),Zimbabwe,West Indies,151 for 9,155 for 4,West Indies,6,wickets,with 123 balls remaining,Wills World Cup,1995/96,Sri Lanka
17-Feb-96,India/Pakistan/Sri Lanka,Vadodara,4th Match,New Zealand,Netherlands,307 for 8,188 for 7,New Zealand,119,runs,,Wills World Cup,1995/96,Sri Lanka
17-Feb-96,India/Pakistan/Sri Lanka,Colombo (RPS),5th Match,Sri Lanka,Australia,,,Sri Lanka,Sri,won,walkover without a ball bowled,Wills World Cup,1995/96,Sri Lanka
18-Feb-96,India/Pakistan/Sri Lanka,Cuttack,6th Match,Kenya,India,199 for 6,203 for 3,India,7,wickets,with 49 balls remaining,Wills World Cup,1995/96,Sri Lanka
18-Feb-96,India/Pakistan/Sri Lanka,Peshawar,7th Match,United Arab Emirates,England,136,140 for 2,England,8,wickets,with 90 balls remaining,Wills World Cup,1995/96,Sri Lanka
20-Feb-96,India/Pakistan/Sri Lanka,Faisalabad,8th Match,New Zealand,South Africa,177 for 9,178 for 5,South Africa,5,wickets,with 75 balls remaining,Wills World Cup,1995/96,Sri Lanka
21-Feb-96,India/Pakistan/Sri Lanka,Colombo (SSC),9th Match,Zimbabwe,Sri Lanka,228 for 6,229 for 4,Sri Lanka,6,wickets,with 78 balls remaining,Wills World Cup,1995/96,Sri Lanka
21-Feb-96,India/Pakistan/Sri Lanka,Gwalior,10th Match (D/N),West Indies,India,173,174 for 5,India,5,wickets,with 62 balls remaining,Wills World Cup,1995/96,Sri Lanka
22-Feb-96,India/Pakistan/Sri Lanka,Peshawar,11th Match,England,Netherlands,279 for 4,230 for 6,England,49,runs,,Wills World Cup,1995/96,Sri Lanka
22-Feb-92,Australia/New Zealand,Auckland,1st Match,New Zealand,Australia,248 for 6,211,New Zealand,37,runs,,Benson & Hedges World Cup,1991/92,Pakistan
07-Jun-75,England,Lord's,1st Match,England,India,334 for 4,132 for 3,England,202,runs,,Prudential World Cup,1975,West Indies
07-Jun-75,England,Birmingham,2nd Match,New Zealand,East Africa,309 for 5,128 for 8,New Zealand,181,runs,,Prudential World Cup,1975,West Indies
07-Jun-75,England,Leeds,3rd Match,Australia,Pakistan,278 for 7,205,Australia,73,runs,,Prudential World Cup,1975,West Indies
07-Jun-75,England,Manchester,4th Match,Sri Lanka,West Indies,86,87 for 1,West Indies,9,wickets,with 236 balls remaining,Prudential World Cup,1975,West Indies
11-Jun-75,England,Nottingham,5th Match,England,New Zealand,266 for 6,186,England,80,runs,,Prudential World Cup,1975,West Indies
23-Feb-96,India/Pakistan/Sri Lanka,Visakhapatnam,12th Match,Australia,Kenya,304 for 7,207 for 7,Australia,97,runs,,Wills World Cup,1995/96,Sri Lanka
24-Feb-96,India/Pakistan/Sri Lanka,Gujranwala,13th Match,United Arab Emirates,Pakistan,109 for 9,112 for 1,Pakistan,9,wickets,with 90 balls remaining,Wills World Cup,1995/96,Sri Lanka
25-Feb-96,India/Pakistan/Sri Lanka,Colombo (RPS),15th Match,Sri Lanka,West Indies,,,Sri Lanka,Sri,won,walkover without a ball bowled,Wills World Cup,1995/96,Sri Lanka
25-Feb-96,India/Pakistan/Sri Lanka,Rawalpindi,14th Match,South Africa,England,230,152,South Africa,78,runs,,Wills World Cup,1995/96,Sri Lanka
26-Feb-96,India/Pakistan/Sri Lanka,Patna,16th Match,Zimbabwe,Kenya,45 for 3,,No result,No result,No result,,Wills World Cup,1995/96,Sri Lanka
26-Feb-96,India/Pakistan/Sri Lanka,Lahore,17th Match,Netherlands,Pakistan,145 for 7,151 for 2,Pakistan,8,wickets,with 116 balls remaining,Wills World Cup,1995/96,Sri Lanka
27-Feb-96,India/Pakistan/Sri Lanka,Patna,16th Match,Kenya,Zimbabwe,134,137 for 5,Zimbabwe,5,wickets,with 46 balls remaining,Wills World Cup,1995/96,Sri Lanka
27-Feb-96,India/Pakistan/Sri Lanka,Faisalabad,18th Match,New Zealand,United Arab Emirates,276 for 8,167 for 9,New Zealand,109,runs,,Wills World Cup,1995/96,Sri Lanka
27-Feb-96,India/Pakistan/Sri Lanka,Wankhede,19th Match (D/N),Australia,India,258,242,Australia,16,runs,,Wills World Cup,1995/96,Sri Lanka
29-Feb-96,India/Pakistan/Sri Lanka,Pune,20th Match,Kenya,West Indies,166,93,Kenya,73,runs,,Wills World Cup,1995/96,Sri Lanka
29-Feb-96,India/Pakistan/Sri Lanka,Karachi,21st Match,Pakistan,South Africa,242 for 6,243 for 5,South Africa,5,wickets,with 34 balls remaining,Wills World Cup,1995/96,Sri Lanka
01-Mar-96,India/Pakistan/Sri Lanka,Nagpur,22nd Match,Zimbabwe,Australia,154,158 for 2,Australia,8,wickets,with 84 balls remaining,Wills World Cup,1995/96,Sri Lanka
01-Mar-96,India/Pakistan/Sri Lanka,Lahore,23rd Match,Netherlands,United Arab Emirates,216 for 9,220 for 3,U.A.E.,7,wickets,with 34 balls remaining,Wills World Cup,1995/96,Sri Lanka
